campaign,start,stop,channel,module,output,ra0,dec0,ra1,dec1,ra2,dec2,ra3,dec3
11,2016-09-24,2016-12-08,84,24,4,252.38937982512712,-20.935904064171414,252.5389054016179,-22.13059918081717,253.73796687574435,-21.995922648509787,253.57810375867393,-20.801822639266227
12,2016-12-15,2017-03-04,1,2,1,357.7512838158659,-5.679915386591698,357.031701270698,-4.714168067174652,357.93329294694144,-4.047439159985737,358.65333315913057,-5.013042453832386
12,2016-12-15,2017-03-04,2,2,2,356.3074212618791,-3.7374937811355644,357.0244441317313,-4.704404709513487,357.92602426621085,-4.037675225931257,357.20773437495245,-3.07140570711865
12,2016-12-15,2017-03-04,3,2,3,358.18682168768765,-2.346423041478113,358.90530474132277,-3.3115595561001094,358.0050460515935,-3.9790196903092925,357.287051604917,-3.012551967700263
12,2016-12-15,2017-03-04,4,2,4,359.6320234680955,-4.286234002784162,358.9125747720455,-3.321310962714595,358.0123151513924,-3.9887829269307407,358.73199904734986,-4.954627395296603
12,2016-12-15,2017-03-04,13,6,1,355.6990542843277,-7.798403362327268,356.6724499149621,-7.081085601808161,357.3472615823604,-7.978325728679348,356.3721081532892,-8.697082563647452
12,2016-12-15,2017-03-04,14,6,2,357.6530182609779,-6.355009440484238,356.68227480917625,-7.07382545073526,357.3570949867898,-7.97105033427283,358.32880202070254,-7.25002087497464
12,2016-12-15,2017-03-04,15,6,3,359.0663886399854,-8.221913775949693,358.0943070664345,-8.944760385221622,357.4163244932403,-8.048576819413974,358.38824926330375,-7.327455986377632
12,2016-12-15,2017-03-04,16,6,4,357.10807617129325,-9.671808945693916,358.08445467933393,-8.95205311415458,357.4064775994926,-8.055855919039116,356.4310476855011,-8.774639425953334
12,2016-12-15,2017-03-04,21,8,1,353.74703895710775,-5.081501304056185,353.0332798673038,-4.111914072917483,353.93768933281797,-3.4499776003801848,354.65185877072344,-4.419432296796898
12,2016-12-15,2017-03-04,22,8,2,352.3145049288975,-3.1315613873277757,353.026083718422,-4.102107811839125,353.9304804485299,-3.440177569824544,353.21778571863047,-2.470160567837069
12,2016-12-15,2017-03-04,23,8,3,354.19843179372464,-1.7516399973130805,354.9111003055823,-2.720625058229443,354.00772419925596,-3.3829802931536794,353.2955031640619,-2.412699578878405
12,2016-12-15,2017-03-04,24,8,4,355.63157863370844,-3.6993649834153355,354.91830532748276,-2.730417236662098,354.01492882211653,-3.3927831339280594,354.72857903331726,-4.362547372344704
12,2016-12-15,2017-03-04,25,9,1,353.94695929880993,-1.3428846551266629,352.9753272225179,-2.052127361867609,352.31564704852144,-1.1478129251887013,353.2878878535326,-0.43893457081230086
12,2016-12-15,2017-03-04,26,9,2,351.9926329894873,-2.7674350643870627,352.965504489986,-2.059287805155718,352.3058171955285,-1.1549765969930423,351.333073472181,-1.8635021616020022
12,2016-12-15,2017-03-04,27,9,3,350.6175552279719,-0.8834686980880078,351.5885573878999,-0.17399998720577425,352.2487165462008,-1.077783929814414,351.27676366015186,-1.7873091843201383
12,2016-12-15,2017-03-04,28,9,4,352.56972762968917,0.5420986760619029,351.5983669792497,-0.16683019278771932,352.25853957907003,-1.070610817728086,353.230058785222,-0.36079674734505773
12,2016-12-15,2017-03-04,29,10,1,352.2601326403289,0.9574646376054256,351.28745328547456,0.2500320615574027,350.6291366216994,1.1552733923188245,351.60269900721886,1.8627990008967623
12,2016-12-15,2017-03-04,30,10,2,350.30468863377274,-0.4641488094195584,351.2776221454474,0.2428824240669677,350.6193045828102,1.148122386334678,349.6462032719251,0.44027955898214843
12,2016-12-15,2017-03-04,31,10,3,348.9309859487386,1.4210280559967274,349.90347070586137,2.1292470520481035,350.56220904000605,1.224144139631444,349.5891054698747,0.5163100814372404
12,2016-12-15,2017-03-04,32,10,4,350.8870847803437,2.8434756933362513,349.91330838165965,2.1363969820552624,350.5720412020365,1.2312953482484887,351.5456793065923,1.938751789548203
12,2016-12-15,2017-03-04,33,11,1,353.3839074289696,-9.490435718973735,354.36465306978045,-8.777321194474501,355.0388534624744,-9.677134969134148,354.056145727387,-10.392027855732662
12,2016-12-15,2017-03-04,34,11,2,355.3518623045397,-8.054937097269224,354.374547780387,-8.77010632908206,355.0487642871073,-9.669898259982636,356.0272634567477,-8.95221692699377
